,loss,accuracy,dropout,weight_decay,lr,hidden_size
0,0.052862410312113556,0.8043478260869565,False,0.01,0.001,128
1,0.05496334867632907,0.7934782608695652,False,0.01,0.001,256
2,0.0498823432818703,0.8152173913043478,True,0.01,0.001,128
3,0.052563978440087776,0.8152173913043478,True,0.01,0.001,256
4,0.029698982186939404,0.8586956521739131,False,0.01,0.0001,128
5,0.032637953110363174,0.8478260869565217,False,0.01,0.0001,256
6,0.03226037760791571,0.8586956521739131,True,0.01,0.0001,128
7,0.03092376077952592,0.8478260869565217,True,0.01,0.0001,256
8,0.0358090912518294,0.8586956521739131,False,0.01,1e-05,128
9,0.029755504558915676,0.8586956521739131,False,0.01,1e-05,256
10,0.035082408267518746,0.8369565217391305,True,0.01,1e-05,128
11,0.031909708419571754,0.8586956521739131,True,0.01,1e-05,256
12,0.05158539116382599,0.8043478260869565,False,0.001,0.001,128
13,0.05761653411647548,0.8152173913043478,False,0.001,0.001,256
14,0.05185864865779877,0.8478260869565217,True,0.001,0.001,128
15,0.05633603489917258,0.8478260869565217,True,0.001,0.001,256
16,0.031176180943198826,0.8478260869565217,False,0.001,0.0001,128
17,0.03394268550302671,0.8478260869565217,False,0.001,0.0001,256
18,0.0287703238427639,0.8586956521739131,True,0.001,0.0001,128
19,0.03333249072665754,0.8478260869565217,True,0.001,0.0001,256
20,0.036012463595556175,0.8586956521739131,False,0.001,1e-05,128
21,0.03092715694852497,0.8586956521739131,False,0.001,1e-05,256
22,0.03644286743972613,0.8260869565217391,True,0.001,1e-05,128
23,0.031639255259348,0.8586956521739131,True,0.001,1e-05,256
